947422	La nave parte per Honolulu domani.	2610025	Ygarata osẽta ko'ẽrõ Honolulúpe guarã.
987142	Wikipedia è la migliore enciclopedia su Internet.	2603983	Vikipetã ha'e ñe'ẽryrupavẽ iporãvéva opaite ñandutíre.
1121110	Tom viveva a Boston.	2606063	Tom oikovekatu kuri táva Boston-pe.
1158626	Wikipedia riapre i battenti!	2603988	Vikipetã ojepe'a jey!
1203105	Mi prendi per il culo?	2225458	che pyhymína che revi rehe.
1436370	Mi direte la verità?	2613391	Ereta piko chéve añetehápe?
1526955	Il tempo è splendido e il mare è calmo.	2613229	Ára iporã eterei ha para ipy'aguapy.
1563064	Io sono pessimo a cantare il karaoke.	2613167	Che apurahei vaihápe ete karaokepe.
1850615	Il sole brillava in tutto il suo splendore.	2613307	Kuarahy omimbi tuichahápe.
2601425	Questa è una bella casa.	2601431	Ko óga ha'e porã.
2601442	Voi chi siete?	2601432	Mávapa nde?
2610035	Tom non riusciva a parlare bene in francese.	2610072	Tom noñe'ẽkuaaporãi hyãsiñe'ẽme.
2610037	Tom non riusciva a dormire la scorsa notte.	2610083	Tom ndokéi kuehe pyhare.
5374422	Le tartarughe non hanno denti.	5827152	Karumbekuéra ndorekói tãinguéra.
5643366	Tom ha troppe idee strane.	6477280	Tom hína heta iñeimo'ã hekopete'ỹ.
4588937	Parli due lingue straniere, vero?	6477284	Ndépa reñe'ẽkuaa mokõi ñe'ẽ pytagua, ajépa?
2798863	Tocca a me lavorare fino a tardi.	6477289	Cheháma amba'apo hag̃ua ka'aru peve.
5055712	Non si può fidare di una traduzione automatica.	6483272	Aníke rejerovia ñe'ẽ ñembohasa kombutadóra ojapo rehe.
4363625	Pensavo di aver sentito un urlo.	6483305	Aimo'ã ahendu sapukái.
5477396	Ho dato a Tom tutti i miei soldi.	6483334	Ame'ẽkuri Tom opa che pirapire.
1166618	Sono Samuel.	6483338	Che hína Samuel.
1397391	Soltanto 3 dei 98 passeggeri sono sopravvissuti.	6727540	Oikónte 3 umi 98 ojeguerahávagui nomanóiva.
2283879	Canto.	6114265	Apurahéi.
5843189	Lui quando se n'è andato?	7032459	Araka'épa ohókuri?
4389	Ti amo.	6691509	Rohayhu.
